title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes
The Mummy,movie,"Action, Adventure, Fantasy",1999,tt0120616,7.1,479968.0
Apollo 13,movie,"Adventure, Drama, History",1995,tt0112384,7.7,325088.0
The Birds,movie,"Drama, Horror, Mystery",1963,tt0056869,7.6,212168.0
Next Door,movie,"Mystery, Thriller",2005,tt0453383,6.4,10885.0
The Lives of Others,movie,"Drama, Mystery, Thriller",2006,tt0405094,8.4,425798.0
2 Fast 2 Furious,movie,"Action, Crime, Thriller",2003,tt0322259,5.9,308751.0
Big Fish,movie,"Adventure, Drama, Fantasy",2003,tt0319061,8.0,468036.0
Silent Hill,movie,"Horror, Mystery",2006,tt0384537,6.5,251698.0
The Da Vinci Code,movie,"Mystery, Thriller",2006,tt0382625,6.6,470789.0
The Conversation,movie,"Drama, Mystery, Thriller",1974,tt0071360,7.7,129525.0
The Terminal,movie,"Comedy, Drama, Romance",2004,tt0362227,7.4,511772.0
Titanic,movie,"Drama, Romance",1997,tt0120338,7.9,1332368.0
Full Metal Jacket,movie,"Drama, War",1987,tt0093058,8.2,817556.0
The Matrix,movie,"Action, Sci-Fi",1999,tt0133093,8.7,2142676.0
The Matrix Reloaded,movie,"Action, Sci-Fi",2003,tt0234215,7.2,649485.0
The Matrix Revolutions,movie,"Action, Sci-Fi",2003,tt0242653,6.7,559084.0
Out of Africa,movie,"Biography, Drama, Romance",1985,tt0089755,7.1,89167.0
Men in Black,movie,"Action, Adventure, Comedy",1997,tt0119654,7.3,636272.0
Men in Black II,movie,"Action, Adventure, Comedy",2002,tt0120912,6.2,417059.0
Wild Strawberries,movie,"Drama, Romance",1957,tt0050986,8.1,119701.0
Wild Things,movie,"Crime, Drama, Mystery",1998,tt0120890,6.6,135707.0
The Bodyguard,movie,"Drama, Music, Romance",1992,tt0103855,6.4,153247.0
Ghostbusters,movie,"Action, Comedy, Fantasy",1984,tt0087332,7.8,468524.0
Grease,movie,"Comedy, Musical, Romance",1978,tt0077631,7.2,312850.0
The Ninth Gate,movie,"Mystery, Thriller",1999,tt0142688,6.7,203761.0
Easy Rider,movie,"Adventure, Drama",1969,tt0064276,7.2,120181.0
Interview with the Vampire,movie,"Drama, Fantasy, Horror",1994,tt0110148,7.5,361043.0
Bridget Jones's Diary,movie,"Comedy, Drama, Romance",2001,tt0243155,6.8,276806.0
Life Is Beautiful,movie,"Comedy, Drama, Romance",1997,tt0118799,8.6,773744.0
Boyz n the Hood,movie,"Crime, Drama",1991,tt0101507,7.8,161384.0
Troy,movie,"Action, Adventure, Drama",2004,tt0332452,7.3,590407.0
Saw IV,movie,"Horror, Mystery, Thriller",2007,tt0890870,5.9,170616.0
Central Station,movie,Drama,1998,tt0140888,8.0,47528.0
Oldboy,movie,"Action, Drama, Mystery",2003,tt0364569,8.3,673763.0
Harry Potter and the Sorcerer's Stone,movie,"Adventure, Family, Fantasy",2001,tt0241527,7.7,899129.0
Harry Potter and the Chamber of Secrets,movie,"Adventure, Family, Fantasy",2002,tt0295297,7.4,725061.0
Harry Potter and the Prisoner of Azkaban,movie,"Adventure, Family, Fantasy",2004,tt0304141,7.9,724964.0
Harry Potter and the Goblet of Fire,movie,"Adventure, Family, Fantasy",2005,tt0330373,7.7,713302.0
Harry Potter and the Order of the Phoenix,movie,"Action, Adventure, Family",2007,tt0373889,7.5,662564.0
Pulp Fiction,movie,"Crime, Drama",1994,tt0110912,8.9,2320900.0
Meet the Fockers,movie,"Comedy, Romance",2004,tt0290002,6.3,294498.0
The Piano,movie,"Drama, Music, Romance",1993,tt0107822,7.5,98023.0
Together,movie,"Comedy, Drama, Romance",2000,tt0203166,7.4,24971.0
Top Gun,movie,"Action, Drama",1986,tt0092099,7.0,523357.0
The Last Emperor,movie,"Biography, Drama, History",1987,tt0093389,7.7,115404.0
Shaun of the Dead,movie,"Comedy, Horror",2004,tt0365748,7.9,616579.0
V for Vendetta,movie,"Action, Drama, Sci-Fi",2005,tt0434409,8.1,1210548.0
The Evil Dead,movie,Horror,1981,tt0083907,7.4,241580.0
Harry Potter and the Half-Blood Prince,movie,"Action, Adventure, Family",2009,tt0417741,7.6,624310.0
Goodfellas,movie,"Biography, Crime, Drama",1990,tt0099685,8.7,1316568.0
Gandhi,movie,"Biography, Drama, History",1982,tt0083987,8.0,243499.0
Kolya,movie,"Comedy, Drama, Music",1996,tt0116790,7.7,16548.0
Mr. & Mrs. Smith,movie,"Action, Comedy, Crime",2005,tt0356910,6.5,564352.0
Closely Watched Trains,movie,"Comedy, Drama, Romance",1966,tt0060802,7.6,14370.0
The Fog,movie,"Horror, Mystery",2005,tt0432291,3.7,40190.0
City of Angels,movie,"Drama, Fantasy, Romance",1998,tt0120632,6.7,131066.0
Persona,movie,"Drama, Thriller",1966,tt0060827,8.0,135598.0
Se7en,movie,"Crime, Drama, Mystery",1995,tt0114369,8.6,1896951.0
Shrek,movie,"Adventure, Animation, Comedy",2001,tt0126029,7.9,768327.0
Shrek 2,movie,"Adventure, Animation, Comedy",2004,tt0298148,7.4,527888.0
Shrek the Third,movie,"Adventure, Animation, Comedy",2007,tt0413267,6.1,345640.0
Austin Powers: International Man of Mystery,movie,"Adventure, Comedy",1997,tt0118655,7.0,264949.0
Austin Powers: The Spy Who Shagged Me,movie,"Action, Adventure, Comedy",1999,tt0145660,6.7,255333.0
